Area Code,Day Mins,State,Prob,Distinct count of CustServ Calls,Distinct count of Eve Mins,Distinct count of Intl Mins
415,199.3,CA,0.352885170,1,1,1
510,196.2,CA,1.000000000,1,1,1
415,191.1,CA,0.107495619,1,1,1
415,189.6,CA,0.623901262,1,1,1
510,183.4,CA,5.430572605e-12,1,1,1
415,183.4,CA,0.039203621,1,1,1
415,183,CA,0.361960240,1,1,1
415,178.7,CA,0.049740088,1,1,1
415,165.8,CA,0.000786061,1,1,1
510,163.6,CA,5.532239797e-11,1,1,1
510,157.6,CA,1.000000000,1,1,1
510,155.9,CA,5.044844212e-11,1,1,1
415,149.9,CA,0.966752830,1,1,1
408,139.6,CA,5.826214639e-11,1,1,1
510,134.8,CA,2.220446049e-16,1,1,1
415,111.9,CA,0.837637159,1,1,1
415,109.6,CA,0.417888655,1,1,1
510,107.9,CA,2.220446049e-16,1,1,1
415,350.8,CO,0.633699601,1,1,1
415,294.9,CO,0.213941627,1,1,1
510,283.2,CO,2.143344585e-11,1,1,1
415,277.5,CO,0.233315394,1,1,1
408,277,CO,0.597445277,1,1,1
408,271.8,CO,0.716424259,1,1,1
408,270.9,CO,0.558684564,1,1,1
408,257.1,CO,0.323881168,1,1,1
408,237.1,CO,0.061574358,1,1,1
408,236.2,CO,0.146015377,1,1,1
415,225.2,CO,0.021197052,1,1,1
415,221.6,CO,0.243928192,1,1,1
415,217.8,CO,0.075021746,1,1,1
415,215.6,CO,0.003761259,1,1,1
415,211.8,CO,0.294950713,1,1,1
415,211.2,CO,0.010381213,1,1,1
510,205.5,CO,2.143344585e-11,1,1,1
415,204.5,CO,0.490698891,1,1,1
408,199.5,CO,0.243678818,1,1,1
408,198.4,CO,0.724862018,1,1,1
415,197.8,CO,0.385589277,1,1,1
415,194.8,CO,0.069837520,1,1,1
408,190.2,CO,0.561835496,1,1,1
408,188.8,CO,0.501563078,1,1,1
415,184.7,CO,0.078532058,1,1,1
408,183.8,CO,0.180295701,1,1,1
510,182.1,CO,2.143344585e-11,1,1,1
408,171.8,CO,0.078922528,1,1,1
415,170.8,CO,0.078093703,1,1,1
408,167.7,CO,0.100588061,1,1,1
510,158.8,CO,2.143344585e-11,1,1,1
510,153.6,CO,2.143344585e-11,1,1,1
415,153.5,CO,0.042815646,1,1,1
408,151.5,CO,0.044368062,1,1,1
408,150.5,CO,0.367315120,1,1,1
415,149.7,CO,0.078528455,1,1,1
415,148.6,CO,0.005263284,1,1,1
408,141.7,CO,0.093251719,1,1,1
415,138.1,CO,0.010206895,1,1,1
415,133.8,CO,0.007587778,1,1,1
415,131.8,CO,0.018891925,1,1,1
415,127,CO,0.002932279,1,1,1
408,125.1,CO,0.087130203,1,1,1
408,124.3,CO,0.010722664,1,1,1
408,120.5,CO,0.027524424,1,1,1
510,117.6,CO,2.143344585e-11,1,1,1
408,115.3,CO,0.004743252,1,1,1
415,85.9,CO,0.000584555,1,1,1
408,62.4,CO,0.569173861,1,1,1
510,61.9,CO,2.143344585e-11,1,1,1
415,30.9,CO,0.000240939,1,1,1
510,321.6,CT,1.000000000,1,1,1
408,301.7,CT,1.238527186e-09,1,1,1
408,294.2,CT,1.000000000,1,1,1
415,283.1,CT,0.511894625,1,1,1
415,271.1,CT,0.360954182,1,1,1
415,245,CT,0.799705710,1,1,1
415,240,CT,0.605932765,1,1,1
408,239.1,CT,2.220446049e-16,1,1,1
415,234.9,CT,0.939562100,1,1,1
408,231.9,CT,2.220446049e-16,1,1,1
415,229.4,CT,0.134509564,1,1,1
415,225.3,CT,0.886961442,1,1,1
415,221.8,CT,0.140179925,1,1,1
510,220.8,CT,4.816146699e-12,1,1,1
415,215.3,CT,0.676892111,1,1,1
510,213.8,CT,2.220446049e-16,1,1,1
408,213.4,CT,2.220446049e-16,1,1,1
415,213,CT,0.248192942,1,1,1
408,207.7,CT,2.220446049e-16,1,1,1
415,206.1,CT,0.133511207,1,1,1
510,203.8,CT,6.472084052e-12,1,1,1
408,202,CT,0.999999998,1,1,1
408,198.6,CT,2.220446049e-16,1,1,1
415,198.4,CT,0.117512651,1,1,1
510,196.6,CT,4.056155577e-11,1,1,1
408,190,CT,2.220446049e-16,1,1,1
510,189.3,CT,3.521011844e-11,1,1,1
415,187.3,CT,0.298425742,1,1,1
408,186.7,CT,2.220446049e-16,1,1,1
408,177.2,CT,2.220446049e-16,1,1,1
415,177.1,CT,0.018463108,1,1,1
415,175.9,CT,0.596959271,1,1,1
510,174.8,CT,2.393352840e-11,1,1,1
415,171.9,CT,0.223977648,1,1,1
510,165.4,CT,2.220446049e-16,1,1,1
510,165.3,CT,2.220446049e-16,1,1,1
415,162.3,CT,0.177168842,1,1,1
415,161.8,CT,0.025717622,1,1,1
415,151,CT,0.035146426,1,1,1
415,146.7,CT,0.012852631,1,1,1
415,142.4,CT,0.016909042,1,1,1
408,137.6,CT,1.367120625e-09,1,1,1
415,137.4,CT,0.009052535,1,1,1
408,134.9,CT,2.220446049e-16,1,1,1
415,126,CT,0.012784291,1,1,1
415,124.4,CT,0.005930694,1,1,1
408,118.1,CT,2.220446049e-16,1,1,1
415,115.5,CT,0.000669762,1,1,1
415,115,CT,0.004956001,1,1,1
510,107.2,CT,2.220446049e-16,1,1,1
408,103.4,CT,2.220446049e-16,1,1,1
415,100.1,CT,0.000810767,1,1,1
408,95.4,CT,5.765806654e-10,1,1,1
408,90.7,CT,2.220446049e-16,1,1,1
415,82.3,CT,0.004208542,1,1,1
510,81.6,CT,2.220446049e-16,1,1,1
408,49.2,CT,2.220446049e-16,1,1,1
415,37.8,CT,0.000157897,1,1,1
408,306.2,DC,1.925593055e-12,1,1,1
415,257.3,DC,0.008674559,1,1,1
415,252.9,DC,0.029588622,1,1,1
415,244.1,DC,0.036846161,1,1,1
408,239.8,DC,2.220446049e-16,1,1,1
415,231.8,DC,0.004942787,1,1,1
510,227.4,DC,2.143344585e-11,1,1,1
415,224.4,DC,0.018385398,1,1,1
510,222.6,DC,2.143344585e-11,1,1,1
415,221.6,DC,0.030083291,1,1,1
415,219.5,DC,0.016322896,1,1,1
510,219.2,DC,2.143344585e-11,1,1,1
408,215.9,DC,2.220446049e-16,1,1,1
415,211,DC,0.120372415,1,1,1
415,209.2,DC,0.234172781,1,1,1
510,204.5,DC,2.143344585e-11,1,1,1
510,203.2,DC,2.143344585e-11,1,1,1
415,202,DC,0.024219576,1,1,1
415,190.6,DC,0.126895204,1,1,1
415,186.8,DC,0.029598506,1,1,1
415,185.4,DC,0.203681363,1,1,1
510,184.1,DC,2.143344585e-11,1,1,1
408,178.7,DC,2.220446049e-16,1,1,1
415,169.8,DC,0.016243902,1,1,1
408,168.6,DC,8.088897579e-11,2,2,2
415,167.3,DC,0.041191792,1,1,1
408,164.5,DC,4.933103698e-11,1,1,1
415,161.4,DC,0.004217159,1,1,1
415,152.8,DC,0.018567548,1,1,1
408,149,DC,1.000000000,1,1,1
415,147.1,DC,0.504280320,1,1,1
415,146.4,DC,0.019737915,1,1,1
510,143.9,DC,2.143344585e-11,1,1,1
415,142,DC,0.049856849,1,1,1
510,138.6,DC,2.143344585e-11,1,1,1
415,133.3,DC,0.026715423,1,1,1
510,132.4,DC,2.143344585e-11,1,1,1
408,132,DC,2.220446049e-16,1,1,1
408,124.7,DC,2.220446049e-16,1,1,1
415,123.7,DC,0.026031622,1,1,1
510,122.4,DC,2.143344585e-11,1,1,1
408,122,DC,9.849061557e-11,1,1,1
510,107.7,DC,2.143344585e-11,1,1,1
415,96.1,DC,0.037677799,1,1,1
415,85.7,DC,0.156303079,1,1,1
408,83,DC,2.220446049e-16,1,1,1
510,68.5,DC,2.143344585e-11,1,1,1
415,57.1,DC,0.215393037,1,1,1
408,51.5,DC,2.220446049e-16,1,1,1
510,334.3,DE,1.000000000,1,1,1
415,254.8,DE,2.220446049e-16,1,1,1
510,250.6,DE,2.220446049e-16,1,1,1
415,243.1,DE,2.220446049e-16,1,1,1
415,222.8,DE,5.814728429e-12,1,1,1
415,217.4,DE,2.220446049e-16,1,1,1
408,215.6,DE,2.143344585e-11,1,1,1
415,214.1,DE,2.220446049e-16,1,1,1
510,211.5,DE,1.267122487e-10,1,1,1
510,209.4,DE,2.220446049e-16,1,1,1
510,200.6,DE,1.014495951e-10,1,1,1
415,198.5,DE,2.220446049e-16,1,1,1
415,197.9,DE,2.220446049e-16,1,1,1
408,197.1,DE,2.143344585e-11,1,1,1
415,197,DE,2.220446049e-16,1,1,1
415,195.9,DE,1.408069059e-10,1,1,1
408,187,DE,2.143344585e-11,1,1,1
510,186.9,DE,2.220446049e-16,1,1,1
510,184.2,DE,2.220446049e-16,1,1,1
408,182.3,DE,2.143344585e-11,1,1,1
510,181.5,DE,2.220446049e-16,1,1,1
415,179.9,DE,2.220446049e-16,1,1,1
415,177.2,DE,2.220446049e-16,1,1,1
415,176.8,DE,2.220446049e-16,1,1,1
415,175.8,DE,2.220446049e-16,1,1,1
510,171.5,DE,1.000000000,1,1,1
510,169.6,DE,2.220446049e-16,1,1,1
415,168.8,DE,9.073664532e-11,1,1,1
510,157.1,DE,1.000000000,1,1,1
415,153.6,DE,1.000000000,1,1,1
415,150,DE,2.220446049e-16,1,1,1
510,148.5,DE,2.220446049e-16,1,1,1
415,140.7,DE,2.220446049e-16,1,1,1
408,139,DE,2.143344585e-11,1,1,1
415,128.6,DE,1.686638455e-10,1,1,1
408,127.7,DE,2.143344585e-11,1,1,1
408,126.7,DE,2.143344585e-11,1,1,1
408,117.1,DE,2.143344585e-11,1,1,1
415,103.7,DE,2.220446049e-16,1,1,1
415,101.7,DE,2.220446049e-16,1,1,1
408,101.1,DE,2.143344585e-11,1,1,1
408,94.4,DE,2.143344585e-11,1,1,1
415,86.5,DE,2.220446049e-16,1,1,1
408,288.1,FL,2.143344585e-11,1,1,1
510,278.5,FL,0.641458388,1,1,1
415,267.4,FL,4.692903735e-11,1,1,1
415,266.6,FL,1.000000000,1,1,1
415,242.5,FL,2.220446049e-16,1,1,1
408,228.6,FL,2.143344585e-11,1,1,1
510,226.7,FL,0.929620348,1,1,1
510,226.2,FL,0.314731676,1,1,1
510,210.7,FL,0.255313694,1,1,1
408,207.9,FL,2.143344585e-11,1,1,1
415,207.3,FL,4.360817098e-11,1,1,1
415,207.1,FL,2.220446049e-16,1,1,1
510,203.1,FL,0.561008085,1,1,1
415,202.3,FL,3.465559853e-11,1,1,1
510,201.7,FL,0.050365012,1,1,1
408,199.2,FL,2.143344585e-11,1,1,1
415,197.4,FL,2.220446049e-16,1,1,1
415,193.4,FL,1.256911333e-11,1,1,1
510,192.1,FL,0.164068239,1,1,1
415,181.8,FL,2.220446049e-16,1,1,1
415,181.4,FL,2.220446049e-16,1,1,1
415,176,FL,3.160276482e-11,1,1,1
408,165.9,FL,2.143344585e-11,1,1,1
415,162.8,FL,2.220446049e-16,1,1,1
510,159.6,FL,0.090820815,1,1,1
415,158.7,FL,2.220446049e-16,1,1,1
415,156.1,FL,2.220446049e-16,1,1,1
408,155.3,FL,2.143344585e-11,1,1,1
415,155.1,FL,2.220446049e-16,1,1,1
415,153.5,FL,2.220446049e-16,1,1,1
415,151.4,FL,2.220446049e-16,1,1,1
510,148.2,FL,0.084948990,1,1,1
408,146.4,FL,2.143344585e-11,1,1,1
510,142.1,FL,0.172873426,1,1,1
510,130.5,FL,0.379716205,1,1,1
510,130.2,FL,0.489528966,1,1,1
510,118.5,FL,0.546817758,1,1,1
408,116.2,FL,2.143344585e-11,1,1,1
415,113.9,FL,2.220446049e-16,1,1,1
415,109.2,FL,1.545098706e-12,1,1,1
510,107,FL,0.425486256,1,1,1
510,93.5,FL,0.141065030,1,1,1
510,92.6,FL,0.496044058,1,1,1
415,76.4,FL,2.220446049e-16,1,1,1
408,55.6,FL,2.143344585e-11,1,1,1
510,47.7,FL,0.256133064,1,1,1
510,288.1,GA,0.378642809,1,1,1
415,287.4,GA,1,1,1,1
415,258.4,GA,7.581236348e-10,1,1,1
415,249.5,GA,2.220446049e-16,1,1,1
510,243.1,GA,0.148728249,1,1,1
408,239.2,GA,2.220446049e-16,1,1,1
415,236.1,GA,2.220446049e-16,1,1,1
408,234.5,GA,2.623864326e-11,1,1,1
510,230.5,GA,0.477433726,1,1,1
408,227.4,GA,2.220446049e-16,1,1,1
408,222.1,GA,1.000000000,1,1,1
415,220,GA,2.220446049e-16,1,1,1
510,216.9,GA,0.472727119,1,1,1
408,214.3,GA,1.409645685e-12,1,1,1
415,213,GA,0.999999999,1,1,1
510,208,GA,0.011856610,1,1,1
408,203.6,GA,8.985678037e-11,1,1,1
415,200.1,GA,2.220446049e-16,1,1,1
415,197.1,GA,2.220446049e-16,1,1,1
510,194.5,GA,0.002198969,1,1,1
415,193.3,GA,0.999999999,1,1,1
510,189.8,GA,0.009533461,1,1,1
415,181.8,GA,2.220446049e-16,1,1,1
415,179.5,GA,2.220446049e-16,1,1,1
415,174.3,GA,7.413410582e-10,1,1,1
408,169.9,GA,2.220446049e-16,1,1,1
408,165.4,GA,8.284273067e-11,1,1,1
415,164.6,GA,2.220446049e-16,1,1,1
415,163.4,GA,2.220446049e-16,1,1,1
408,157.6,GA,2.220446049e-16,1,1,1
510,149.9,GA,0.018656098,1,1,1
510,140,GA,0.279745948,1,1,1
415,127.1,GA,2.220446049e-16,1,1,1
408,126.3,GA,2.220446049e-16,1,1,1
510,124.1,GA,0.073320574,1,1,1
408,124.1,GA,2.220446049e-16,1,1,1
415,121,GA,2.220446049e-16,1,1,1
415,117.3,GA,2.220446049e-16,1,1,1
510,115.4,GA,0.123441864,1,1,1
415,113.2,GA,4.949383664e-10,1,1,1
408,98.2,GA,2.220446049e-16,1,1,1
510,72.7,GA,0.000750409,1,1,1
510,71.2,GA,0.002964180,1,1,1
415,291.6,HI,1.000000000,1,1,1
415,281.3,HI,1.000000000,1,1,1
415,276.2,HI,2.402414222e-10,1,1,1
415,253.2,HI,2.220446049e-16,2,2,1
408,242.4,HI,2.240733817e-11,1,1,1
415,241.9,HI,2.220446049e-16,1,1,1
415,235.8,HI,1.373888895e-10,1,1,1
415,235.6,HI,2.529680796e-10,1,1,1
510,218.9,HI,2.143344585e-11,1,1,1
415,214,HI,2.220446049e-16,1,1,1
415,211.7,HI,2.220446049e-16,1,1,1
415,211.1,HI,2.220446049e-16,1,1,1
408,197.9,HI,2.220446049e-16,1,1,1
415,197.3,HI,2.220446049e-16,1,1,1
415,194.2,HI,2.220446049e-16,1,1,1
415,190.9,HI,2.220446049e-16,1,1,1
510,189.8,HI,2.143344585e-11,1,1,1
510,189.3,HI,2.143344585e-11,1,1,1
408,187.3,HI,1.026150029e-11,1,1,1
408,181.4,HI,2.220446049e-16,1,1,1
415,174,HI,2.220446049e-16,1,1,1
510,166.6,HI,2.143344585e-11,1,1,1
415,156.2,HI,2.220446049e-16,1,1,1
415,154.6,HI,2.220446049e-16,1,1,1
408,151.4,HI,2.220446049e-16,1,1,1
408,150.9,HI,2.220446049e-16,1,1,1
415,147.9,HI,2.220446049e-16,1,1,1
415,145,HI,2.220446049e-16,1,1,1
408,139,HI,7.592299233e-11,1,1,1
408,135.7,HI,1.000000000,1,1,1
415,133.4,HI,2.220446049e-16,1,1,1
510,125.4,HI,2.143344585e-11,1,1,1
415,124.6,HI,2.220446049e-16,1,1,1
415,124.2,HI,2.220446049e-16,1,1,1
415,121.1,HI,2.220446049e-16,1,1,1
510,119.3,HI,2.143344585e-11,1,1,1
415,114.1,HI,2.220446049e-16,1,1,1
408,110.3,HI,2.220446049e-16,1,1,1
408,102.3,HI,2.436698248e-11,1,1,1
510,93.8,HI,2.143344585e-11,1,1,1
415,62.9,HI,2.220446049e-16,1,1,1
415,41.9,HI,2.220446049e-16,1,1,1
415,308.6,IA,1.000000000,1,1,1
510,261.4,IA,1.000000000,1,1,1
510,256.3,IA,4.602399940e-10,1,1,1
415,233.9,IA,2.220446049e-16,1,1,1
415,216.8,IA,2.915792591e-11,1,2,2
415,216,IA,6.817770731e-11,1,1,1
415,211.3,IA,4.928709331e-11,1,1,1
408,210.9,IA,2.143344585e-11,1,1,1
408,208,IA,2.143344585e-11,1,1,1
510,203.5,IA,2.220446049e-16,1,1,1
510,198.3,IA,2.769249142e-10,1,1,1
408,193.8,IA,2.143344585e-11,1,1,1
408,191.9,IA,2.143344585e-11,1,1,1
510,187.5,IA,2.220446049e-16,1,1,1
408,186.2,IA,2.143344585e-11,1,1,1
415,174.4,IA,2.220446049e-16,1,1,1
510,169.7,IA,0.999999998,1,1,1
510,161.2,IA,2.220446049e-16,1,1,1
408,158.8,IA,2.143344585e-11,1,1,1
415,158,IA,2.220446049e-16,1,1,1
510,156,IA,2.220446049e-16,1,1,1
415,155.4,IA,2.220446049e-16,1,1,1
510,153.5,IA,2.220446049e-16,1,1,1
415,150.4,IA,2.220446049e-16,1,1,1
510,141.4,IA,2.220446049e-16,1,1,1
510,139.1,IA,1.482578348e-09,1,1,1
415,138.5,IA,2.220446049e-16,1,1,1
415,136.1,IA,2.220446049e-16,1,1,1
510,134,IA,2.220446049e-16,1,1,1
408,126.3,IA,2.143344585e-11,1,1,1
415,120.7,IA,3.264013130e-11,1,1,1
415,118.4,IA,2.220446049e-16,1,1,1
415,113.7,IA,2.220446049e-16,1,1,1
510,88.1,IA,2.220446049e-16,1,1,1
510,274.4,ID,2.220446049e-16,1,1,1
510,270.8,ID,3.554749722e-09,1,1,1
415,266.9,ID,0.367616742,1,1,1
510,264.3,ID,2.220446049e-16,1,1,1
415,263.7,ID,0.468962993,1,1,1
415,251.8,ID,0.589453315,1,1,1
415,251.6,ID,0.251771932,1,1,1
415,247,ID,0.501890391,1,1,1
408,239.8,ID,2.143344585e-11,1,1,1
408,236.3,ID,2.143344585e-11,1,1,1
415,235.7,ID,0.253883465,1,1,1
510,232.6,ID,2.220446049e-16,1,1,1
408,232.6,ID,2.143344585e-11,1,1,1
415,225.2,ID,0.025912275,1,1,1
